Zeitstempel von [CET];kW;kWh;
29.11.2021 00:00;0.26;0.06;
29.11.2021 00:15;0.33;0.08;
29.11.2021 00:30;0.3;0.07;
29.11.2021 00:45;0.29;0.07;
29.11.2021 01:00;0.29;0.07;
29.11.2021 01:15;0.27;0.07;
29.11.2021 01:30;0.34;0.09;
29.11.2021 01:45;0.25;0.06;
29.11.2021 02:00;0.27;0.07;
29.11.2021 02:15;0.23;0.06;
29.11.2021 02:30;0.26;0.06;
29.11.2021 02:45;0.24;0.06;
29.11.2021 03:00;0.25;0.06;
29.11.2021 03:15;0.25;0.06;
29.11.2021 03:30;0.25;0.06;
29.11.2021 03:45;0.3;0.08;
29.11.2021 04:00;0.27;0.07;
29.11.2021 04:15;0.26;0.06;
29.11.2021 04:30;0.24;0.06;
29.11.2021 04:45;0.23;0.06;
29.11.2021 05:00;0.26;0.07;
29.11.2021 05:15;0.22;0.05;
29.11.2021 05:30;0.27;0.07;
29.11.2021 05:45;0.27;0.07;
29.11.2021 06:00;0.28;0.07;
29.11.2021 06:15;0.28;0.07;
29.11.2021 06:30;0.23;0.06;
29.11.2021 06:45;0.28;0.07;
29.11.2021 07:00;0.24;0.06;
29.11.2021 07:15;0.25;0.06;
29.11.2021 07:30;0.25;0.06;
29.11.2021 07:45;0.24;0.06;
29.11.2021 08:00;0.31;0.08;
29.11.2021 08:15;0.24;0.06;
29.11.2021 08:30;0.25;0.06;
29.11.2021 08:45;0.24;0.06;
29.11.2021 09:00;0.25;0.06;
29.11.2021 09:15;0.23;0.06;
29.11.2021 09:30;0.25;0.06;
29.11.2021 09:45;0.22;0.06;
29.11.2021 10:00;0.3;0.08;
29.11.2021 10:15;0.27;0.07;
29.11.2021 10:30;0.24;0.06;
29.11.2021 10:45;0.24;0.06;
29.11.2021 11:00;0.22;0.05;
29.11.2021 11:15;0.28;0.07;
29.11.2021 11:30;0.24;0.06;
29.11.2021 11:45;0.28;0.07;
29.11.2021 12:00;0.29;0.07;
29.11.2021 12:15;0.29;0.07;
29.11.2021 12:30;0.27;0.07;
29.11.2021 12:45;0.22;0.05;
29.11.2021 13:00;0.24;0.06;
29.11.2021 13:15;0.24;0.06;
29.11.2021 13:30;0.25;0.06;
29.11.2021 13:45;0.24;0.06;
29.11.2021 14:00;0.3;0.08;
29.11.2021 14:15;0.24;0.06;
29.11.2021 14:30;0.24;0.06;
29.11.2021 14:45;0.24;0.06;
29.11.2021 15:00;0.23;0.06;
29.11.2021 15:15;0.26;0.06;
29.11.2021 15:30;0.23;0.06;
29.11.2021 15:45;0.28;0.07;
29.11.2021 16:00;0.28;0.07;
29.11.2021 16:15;0.23;0.06;
29.11.2021 16:30;0.26;0.07;
29.11.2021 16:45;0.22;0.05;
29.11.2021 17:00;0.26;0.06;
29.11.2021 17:15;0.22;0.05;
29.11.2021 17:30;0.24;0.06;
29.11.2021 17:45;0.28;0.07;
29.11.2021 18:00;0.33;0.08;
29.11.2021 18:15;0.33;0.08;
29.11.2021 18:30;0.31;0.08;
29.11.2021 18:45;1.36;0.34;Kochen
29.11.2021 19:00;0.54;0.13;
29.11.2021 19:15;0.5;0.13;
29.11.2021 19:30;0.99;0.25;Waschen
29.11.2021 19:45;1.82;0.46;Waschen
29.11.2021 20:00;0.51;0.13;Waschen
29.11.2021 20:15;0.47;0.12;Waschen
29.11.2021 20:30;0.69;0.17;Waschen
29.11.2021 20:45;0.47;0.12;Waschen
29.11.2021 21:00;0.5;0.12;Waschen
29.11.2021 21:15;0.49;0.12;Waschen
29.11.2021 21:30;0.48;0.12;Waschen
29.11.2021 21:45;0.56;0.14;Waschen
29.11.2021 22:00;0.4;0.1;Waschen
29.11.2021 22:15;0.3;0.08;
29.11.2021 22:30;0.28;0.07;
29.11.2021 22:45;0.28;0.07;
29.11.2021 23:00;0.26;0.07;
29.11.2021 23:15;0.28;0.07;
29.11.2021 23:30;0.25;0.06;
29.11.2021 23:45;0.32;0.08;
30.11.2021 00:00;0.3;0.08;
30.11.2021 00:15;0.26;0.07;
30.11.2021 00:30;0.27;0.07;
30.11.2021 00:45;0.25;0.06;
30.11.2021 01:00;0.28;0.07;
30.11.2021 01:15;0.24;0.06;
30.11.2021 01:30;0.28;0.07;
30.11.2021 01:45;0.25;0.06;
30.11.2021 02:00;0.32;0.08;
30.11.2021 02:15;0.28;0.07;
30.11.2021 02:30;0.26;0.06;
30.11.2021 02:45;0.26;0.06;
30.11.2021 03:00;0.27;0.07;
30.11.2021 03:15;0.25;0.06;
30.11.2021 03:30;0.24;0.06;
30.11.2021 03:45;0.25;0.06;
30.11.2021 04:00;0.28;0.07;
30.11.2021 04:15;0.29;0.07;
30.11.2021 04:30;0.24;0.06;
30.11.2021 04:45;0.26;0.06;
30.11.2021 05:00;0.24;0.06;
30.11.2021 05:15;0.22;0.05;
30.11.2021 05:30;0.26;0.07;
30.11.2021 05:45;0.22;0.05;
30.11.2021 06:00;0.27;0.07;
30.11.2021 06:15;0.32;0.08;
30.11.2021 06:30;0.26;0.06;
30.11.2021 06:45;0.25;0.06;
30.11.2021 07:00;0.23;0.06;
30.11.2021 07:15;0.25;0.06;
30.11.2021 07:30;0.24;0.06;
30.11.2021 07:45;0.26;0.06;
30.11.2021 08:00;0.34;0.09;
30.11.2021 08:15;0.37;0.09;
30.11.2021 08:30;0.34;0.09;
30.11.2021 08:45;0.34;0.09;
30.11.2021 09:00;0.32;0.08;
30.11.2021 09:15;0.33;0.08;
30.11.2021 09:30;0.32;0.08;
30.11.2021 09:45;0.29;0.07;
30.11.2021 10:00;0.33;0.08;
30.11.2021 10:15;0.29;0.07;
30.11.2021 10:30;0.38;0.09;
30.11.2021 10:45;0.32;0.08;
30.11.2021 11:00;0.32;0.08;
30.11.2021 11:15;0.32;0.08;
30.11.2021 11:30;0.31;0.08;
30.11.2021 11:45;0.31;0.08;
30.11.2021 12:00;0.3;0.08;
30.11.2021 12:15;0.36;0.09;
30.11.2021 12:30;0.33;0.08;
30.11.2021 12:45;0.3;0.08;
30.11.2021 13:00;0.32;0.08;
30.11.2021 13:15;0.31;0.08;
30.11.2021 13:30;0.34;0.09;
30.11.2021 13:45;0.32;0.08;
30.11.2021 14:00;0.39;0.1;
30.11.2021 14:15;0.32;0.08;
30.11.2021 14:30;0.33;0.08;
30.11.2021 14:45;0.29;0.07;
30.11.2021 15:00;0.33;0.08;
30.11.2021 15:15;0.31;0.08;
30.11.2021 15:30;0.31;0.08;
30.11.2021 15:45;0.33;0.08;
30.11.2021 16:00;0.3;0.08;
30.11.2021 16:15;0.37;0.09;
30.11.2021 16:30;0.36;0.09;
30.11.2021 16:45;0.33;0.08;
30.11.2021 17:00;0.34;0.08;
30.11.2021 17:15;0.32;0.08;
30.11.2021 17:30;0.34;0.09;
30.11.2021 17:45;0.36;0.09;
30.11.2021 18:00;0.56;0.14;
30.11.2021 18:15;0.49;0.12;
30.11.2021 18:30;0.92;0.23;
